['N-term', 17, 26, None, None, 'taar3_human', None]
['N-term', 17, None, 'taar3_human', None]
['N-term', 18, None, 'taar3_human', None]
['N-term', 19, None, 'taar3_human', None]
['N-term', 20, None, 'taar3_human', None]
['N-term', 21, None, 'taar3_human', None]
['N-term', 22, None, 'taar3_human', None]
['N-term', 23, None, 'taar3_human', None]
['N-term', 24, None, 'taar3_human', None]
['N-term', 25, None, 'taar3_human', None]
['N-term', 26, None, 'taar3_human', None]
['TM1', 27, 29, '1x28', '1x30', 'taar3_human', <Structure: 4BVN>]
['TM1', 27, '1x28', 'taar3_human', <Structure: 4XT1>]
['TM1', 28, '1x29', 'taar3_human', None]
['TM1', 29, '1x30', 'taar3_human', None]
['TM1', 30, 59, '1x31', '1x60', 'taar3_human', <Structure: 3D4S>]
['TM1', 30, '1x31', 'taar3_human', None]
['TM1', 31, '1x32', 'taar3_human', <Structure: 4DJH>]
['TM1', 32, '1x33', 'taar3_human', None]
['TM1', 33, '1x34', 'taar3_human', None]
['TM1', 34, '1x35', 'taar3_human', None]
['TM1', 35, '1x36', 'taar3_human', <Structure: 4IAR>]
['TM1', 36, '1x37', 'taar3_human', <Structure: 4U15>]
['TM1', 37, '1x38', 'taar3_human', <Structure: 4S0V>]
['TM1', 38, '1x39', 'taar3_human', <Structure: 3PBL>]
['TM1', 39, '1x40', 'taar3_human', None]
['TM1', 40, '1x41', 'taar3_human', None]
['TM1', 41, '1x42', 'taar3_human', None]
['TM1', 42, '1x43', 'taar3_human', None]
['TM1', 43, '1x44', 'taar3_human', None]
['TM1', 44, '1x45', 'taar3_human', None]
['TM1', 45, '1x46', 'taar3_human', None]
['TM1', 46, '1x47', 'taar3_human', <Structure: 4DJH>]
['TM1', 47, '1x48', 'taar3_human', <Structure: 3D4S>]
['TM1', 48, '1x49', 'taar3_human', <Structure: 3D4S>]
['TM1', 49, '1x50', 'taar3_human', <Structure: 3D4S>]
['TM1', 50, '1x51', 'taar3_human', <Structure: 3RZE>]
['TM1', 51, '1x52', 'taar3_human', <Structure: 4GRV>]
['TM1', 52, '1x53', 'taar3_human', None]
['TM1', 53, '1x54', 'taar3_human', <Structure: 3UON>]
['TM1', 54, '1x55', 'taar3_human', <Structure: 3UON>]
['TM1', 55, '1x56', 'taar3_human', <Structure: 3UON>]
['TM1', 56, '1x57', 'taar3_human', <Structure: 3D4S>]
['TM1', 57, '1x58', 'taar3_human', <Structure: 4IB4>]
['TM1', 58, '1x59', 'taar3_human', None]
['TM1', 59, '1x60', 'taar3_human', <Structure: 3D4S>]
['ICL1', 60, 64, '12x48', None, 'taar3_human', <Structure: 3D4S>]
['ICL1', 60, '12x48', 'taar3_human', None]
['ICL1', 61, '12x49', 'taar3_human', None]
['ICL1', 62, '12x50', 'taar3_human', <Structure: 3D4S>]
['ICL1', 63, None, 'taar3_human', None]
['ICL1', 64, None, 'taar3_human', None]
['TM2', 65, 94, '2x38', '2x67', 'taar3_human', <Structure: 3D4S>]
['TM2', 65, '2x38', 'taar3_human', <Structure: 4IAR>]
['TM2', 66, '2x39', 'taar3_human', <Structure: 3D4S>]
['TM2', 67, '2x40', 'taar3_human', <Structure: 3D4S>]
['TM2', 68, '2x41', 'taar3_human', None]
['TM2', 69, '2x42', 'taar3_human', <Structure: 3PBL>]
['TM2', 70, '2x43', 'taar3_human', <Structure: 3D4S>]
['TM2', 71, '2x44', 'taar3_human', <Structure: 4U15>]
['TM2', 72, '2x45', 'taar3_human', <Structure: 3D4S>]
['TM2', 73, '2x46', 'taar3_human', None]
['TM2', 74, '2x47', 'taar3_human', <Structure: 3D4S>]
['TM2', 75, '2x48', 'taar3_human', <Structure: 3VW7>]
['TM2', 76, '2x49', 'taar3_human', <Structure: 4IAR>]
['TM2', 77, '2x50', 'taar3_human', <Structure: 3D4S>]
['TM2', 78, '2x51', 'taar3_human', <Structure: 2Z73>]
['TM2', 79, '2x52', 'taar3_human', <Structure: 3PBL>]
['TM2', 80, '2x53', 'taar3_human', <Structure: 4PHU>]
['TM2', 81, '2x54', 'taar3_human', <Structure: 3D4S>]
['TM2', 82, '2x55', 'taar3_human', <Structure: 1U19>]
['TM2', 83, '2x56', 'taar3_human', <Structure: 3PBL>]
['TM2', 84, '2x57', 'taar3_human', <Structure: 4EIY>]
['TM2', 85, '2x58', 'taar3_human', <Structure: 4GRV>]
['TM2', 86, '2x59', 'taar3_human', <Structure: 3D4S>]
['TM2', 87, '2x60', 'taar3_human', <Structure: 3UON>]
['TM2', 88, '2x61', 'taar3_human', <Structure: 4DJH>]
['TM2', 89, '2x62', 'taar3_human', None]
['TM2', 90, '2x63', 'taar3_human', None]
['TM2', 91, '2x64', 'taar3_human', None]
['TM2', 92, '2x65', 'taar3_human', <Structure: 1U19>]
['TM2', 93, '2x66', 'taar3_human', None]
['TM2', 94, '2x67', 'taar3_human', None]
['ECL1', 95, 100, None, None, 'taar3_human', <Structure: 3D4S>]
['ECL1', 95, None, 'taar3_human', None]
['ECL1', 96, None, 'taar3_human', None]
['ECL1', 97, '23x50', 'taar3_human', <Structure: 3D4S>]
['ECL1', 98, '23x51', 'taar3_human', None]
['ECL1', 99, '23x52', 'taar3_human', <Structure: 3D4S>]
['ECL1', 100, None, 'taar3_human', <Structure: 3D4S>]
['TM3', 101, 135, '3x22', '3x56', 'taar3_human', <Structure: 3D4S>]
['TM3', 101, '3x22', 'taar3_human', <Structure: 4DJH>]
['TM3', 102, '3x23', 'taar3_human', None]
['TM3', 103, '3x24', 'taar3_human', None]
['TM3', 104, '3x25', 'taar3_human', <Structure: 3D4S>]
['TM3', 105, '3x26', 'taar3_human', <Structure: 4DJH>]
['TM3', 106, '3x27', 'taar3_human', <Structure: 3D4S>]
['TM3', 107, '3x28', 'taar3_human', None]
['TM3', 108, '3x29', 'taar3_human', <Structure: 3D4S>]
['TM3', 109, '3x30', 'taar3_human', <Structure: 3D4S>]
['TM3', 110, '3x31', 'taar3_human', <Structure: 4EIY>]
['TM3', 111, '3x32', 'taar3_human', <Structure: 3D4S>]
['TM3', 112, '3x33', 'taar3_human', None]
['TM3', 113, '3x34', 'taar3_human', <Structure: 3PBL>]
['TM3', 114, '3x35', 'taar3_human', <Structure: 4EIY>]
['TM3', 115, '3x36', 'taar3_human', None]
['TM3', 116, '3x37', 'taar3_human', None]
['TM3', 117, '3x38', 'taar3_human', <Structure: 4DJH>]
['TM3', 118, '3x39', 'taar3_human', <Structure: 3D4S>]
['TM3', 119, '3x40', 'taar3_human', <Structure: 3D4S>]
['TM3', 120, '3x41', 'taar3_human', <Structure: 3RZE>]
['TM3', 121, '3x42', 'taar3_human', <Structure: 4IAR>]
['TM3', 122, '3x43', 'taar3_human', <Structure: 3D4S>]
['TM3', 123, '3x44', 'taar3_human', <Structure: 3D4S>]
['TM3', 124, '3x45', 'taar3_human', <Structure: 4GRV>]
['TM3', 125, '3x46', 'taar3_human', <Structure: 3D4S>]
['TM3', 126, '3x47', 'taar3_human', <Structure: 3D4S>]
['TM3', 127, '3x48', 'taar3_human', <Structure: 3PBL>]
['TM3', 128, '3x49', 'taar3_human', <Structure: 3D4S>]
['TM3', 129, '3x50', 'taar3_human', <Structure: 3D4S>]
['TM3', 130, '3x51', 'taar3_human', <Structure: 3VW7>]
['TM3', 131, '3x52', 'taar3_human', <Structure: 4S0V>]
['TM3', 132, '3x53', 'taar3_human', <Structure: 3D4S>]
['TM3', 133, '3x54', 'taar3_human', <Structure: 3PBL>]
['TM3', 134, '3x55', 'taar3_human', <Structure: 4DJH>]
['TM3', 135, '3x56', 'taar3_human', <Structure: 3VW7>]
['ICL2', 136, 136, '34x50', '34x50', 'taar3_human', None]
['ICL2', 136, '34x50', 'taar3_human', None]
['ICL2', 137, 143, '34x51', None, 'taar3_human', <Structure: 4IAR>]
['ICL2', 137, '34x51', 'taar3_human', None]
['ICL2', 138, '34x52', 'taar3_human', None]
['ICL2', 139, '34x53', 'taar3_human', <Structure: 4IAR>]
['ICL2', 140, '34x54', 'taar3_human', None]
['ICL2', 141, '34x55', 'taar3_human', None]
['ICL2', 142, '34x56', 'taar3_human', <Structure: 4IAR>]
['ICL2', 143, '34x57', 'taar3_human', None]
['ICL2', 144, 144, None, None, 'taar3_human', None]
['ICL2', 144, None, 'taar3_human', None]
['TM4', 145, 169, '4x39', '4x63', 'taar3_human', <Structure: 3D4S>]
['TM4', 145, '4x39', 'taar3_human', <Structure: 3V2Y>]
['TM4', 146, '4x40', 'taar3_human', <Structure: 4EA3>]
['TM4', 147, '4x41', 'taar3_human', <Structure: 4IB4>]
['TM4', 148, '4x42', 'taar3_human', None]
['TM4', 149, '4x43', 'taar3_human', <Structure: 4BVN>]
['TM4', 150, '4x44', 'taar3_human', None]
['TM4', 151, '4x45', 'taar3_human', <Structure: 3V2Y>]
['TM4', 152, '4x46', 'taar3_human', None]
['TM4', 153, '4x47', 'taar3_human', <Structure: 4IAR>]
['TM4', 154, '4x48', 'taar3_human', <Structure: 2Z73>]
['TM4', 155, '4x49', 'taar3_human', <Structure: 4EIY>]
['TM4', 156, '4x50', 'taar3_human', <Structure: 3D4S>]
['TM4', 157, '4x51', 'taar3_human', None]
['TM4', 158, '4x52', 'taar3_human', <Structure: 3D4S>]
